1,F,10,1,48067
56,M,16,2,70072
25,M,15,3,55117
45,M,7,4,02460
25,M,20,5,55455
50,F,9,6,55117
35,M,1,7,06810
25,M,12,8,11413
25,M,17,9,61614
35,F,1,10,95370
25,F,1,11,04093
25,M,12,12,32793
45,M,1,13,93304
35,M,0,14,60126
25,M,7,15,22903
35,F,0,16,20670
50,M,1,17,95350
18,F,3,18,95825
1,M,10,19,48073
25,M,14,20,55113
18,M,16,21,99353
18,M,15,22,53706
35,M,0,23,90049
25,F,7,24,10023
18,M,4,25,01609
25,M,7,26,23112
25,M,11,27,19130
25,F,1,28,14607
35,M,7,29,33407
35,F,7,30,19143
56,M,7,31,06840
25,F,0,32,19355
45,M,3,33,55421
18,F,0,34,02135
45,M,1,35,02482
25,M,3,36,94123
25,F,9,37,66212
18,F,4,38,02215
18,M,4,39,61820
45,M,0,40,10543
18,F,4,41,15116
25,M,8,42,24502
25,M,12,43,60614
45,M,17,44,98052
45,F,16,45,94110
18,M,19,46,75602
18,M,4,47,94305
25,M,4,48,92107
18,M,12,49,77084
25,F,2,50,98133
1,F,10,51,10562
18,M,4,52,72212
25,M,0,53,96931
50,M,1,54,56723
35,F,12,55,55303
35,M,20,56,60440
18,M,19,57,30350
25,M,2,58,30303
50,F,1,59,55413
50,M,1,60,72118
25,M,17,61,95122
35,F,3,62,98105
18,M,4,63,54902
18,M,1,64,53706
35,M,12,65,55803
25,M,18,66,57706
50,F,5,67,60181
18,M,4,68,53706
25,F,1,69,02143
18,M,4,70,53703
25,M,14,71,95008
45,F,0,72,55122
18,M,4,73,53706
35,M,14,74,94530
1,F,10,75,01748
35,M,7,76,55413
18,M,4,77,15321
45,F,1,78,98029
45,F,0,79,98103
56,M,1,80,49327
25,F,0,81,60640
25,M,17,82,48380
25,F,2,83,94609
18,M,4,84,53140
18,M,4,85,94945
1,F,10,86,54467
25,M,14,87,48360
45,F,1,88,02476
56,F,9,89,85749
56,M,13,90,85749
35,M,7,91,07650
18,F,4,92,44243
25,M,17,93,95825
25,M,17,94,28601
45,M,0,95,98201
25,F,16,96,78028
35,F,3,97,66210
35,F,7,98,33547
1,F,10,99,19390
35,M,17,100,95401
18,F,3,101,33314
35,M,19,102,20871
45,M,7,103,92104
25,M,12,104,00926
45,M,12,105,90277
35,F,11,106,79101
45,M,18,107,63129
25,M,12,108,30316
45,M,15,109,92028
25,M,2,110,90803
35,M,15,111,55416
25,M,16,112,97209
18,M,12,113,37032
25,F,2,114,83712
25,M,17,115,28083
25,M,17,116,55744
25,M,17,117,33314
35,M,17,118,22315
1,F,10,119,77515
25,M,11,120,27106
35,M,7,121,75229
18,F,4,122,94305
35,M,9,123,67208
56,M,7,124,91356
45,M,14,125,01701
18,M,9,126,98117
45,F,3,127,01770
56,M,6,128,37922
25,M,11,129,20164
35,M,17,130,50021
18,M,4,131,06520
25,M,17,132,99709
25,F,0,133,55071
25,M,0,134,66212
18,M,4,135,20006
18,M,2,136,21202
45,F,6,137,78758
18,M,20,138,22203
25,F,20,139,45409
35,F,1,140,55107
35,M,13,141,62035
25,M,7,142,10011
18,M,3,143,64043
25,M,17,144,29401
18,M,4,145,19081
35,F,20,146,10954
18,M,4,147,91360
50,M,17,148,57747
25,M,1,149,29205
35,M,7,150,98144
25,F,20,151,85013
18,M,4,152,48104
1,M,10,153,51537
50,M,20,154,94530
35,M,12,155,07470
45,F,7,156,14519
35,M,16,157,12866
56,M,7,158,28754
45,F,0,159,37922
35,M,7,160,13021
45,M,16,161,98107-2117
18,F,4,162,93117
18,M,4,163,85013
56,F,13,164,94566
18,M,16,165,98502
18,M,4,166,92802
25,F,11,167,10022
50,F,0,168,46970
25,M,7,169,55439
25,M,11,170,07002
50,F,17,171,55441
25,M,3,172,07661
25,M,0,173,45237
25,M,16,174,21203
25,F,2,175,95123
18,F,3,176,55016
50,M,1,177,54016
56,M,17,178,53705
25,M,0,179,02135
45,M,12,180,01603
18,M,17,181,33186
18,M,4,182,03052
45,F,1,183,55407
25,F,0,184,19001
45,M,0,185,14468
18,M,5,186,91767
45,F,1,187,94061
56,M,16,188,79930
18,M,0,189,60076
25,M,17,190,55125
18,M,4,191,04915
18,M,1,192,10977
45,F,15,193,44106
1,F,10,194,29146
25,M,12,195,10458
35,F,9,196,94587
18,M,14,197,10023
25,M,12,198,55108
18,M,4,199,83706
18,F,4,200,84321
35,F,2,201,55117
18,M,4,202,53706
18,F,4,203,53715
25,M,7,204,92123
35,M,12,205,97333
25,M,17,206,20194
25,M,12,207,94115
35,M,17,208,55432
35,M,1,209,90048
1,F,10,210,25801
45,M,17,211,90620
25,M,16,212,53714
18,F,4,213,01609
18,M,20,214,80218
35,M,14,215,92075
45,M,13,216,52761
18,M,4,217,22903
35,M,14,218,95822
25,F,4,219,55113
25,M,12,220,22903
25,F,0,221,94063
25,M,1,222,55116
25,M,17,223,28262
18,F,4,224,14850
25,M,7,225,11215
35,M,1,226,94518
35,M,20,227,90291
25,M,15,228,55455
18,M,10,229,04576
45,M,1,230,43210
25,M,3,231,55455
25,M,20,232,55408
45,F,20,233,37919-4204
35,M,7,234,39652
25,M,0,235,98153
25,M,5,236,55126
25,M,6,237,46835
50,F,7,238,90291
18,M,19,239,94618
50,M,17,240,55113
35,M,20,241,55121
18,F,4,242,53706
25,M,16,243,11576
50,M,7,244,19072
35,M,16,245,66046
18,F,4,246,60625
25,M,17,247,94404
18,M,17,248,72703
18,F,14,249,48126
35,M,16,250,11229
56,M,17,251,55105
25,M,12,252,94112
25,F,11,253,97370
35,M,17,254,49015
35,M,0,255,85310
45,M,16,256,55076
18,M,18,257,55113
25,M,7,258,55436
25,M,1,259,60615
18,M,19,260,98126
25,M,20,261,75801
25,F,1,262,68503
25,F,7,263,22304
35,M,0,264,20755
35,F,7,265,55116
35,M,11,266,75229
45,M,12,267,55001
18,F,12,268,29708
25,M,2,269,55408
50,M,14,270,55414
18,M,4,271,48202
18,M,0,272,80302
18,M,4,273,55427
18,M,4,274,55455
25,M,0,275,48162
45,M,16,276,01982
35,F,1,277,98126
45,M,18,278,60482
25,M,14,279,91214
50,M,7,280,19118
35,F,0,281,94117
25,M,17,282,94401
25,M,0,283,10003
25,M,12,284,91910
35,F,0,285,94109
25,M,1,286,54601
50,M,13,287,94706
25,F,12,288,97119
25,F,0,289,11801
25,F,20,290,94591
35,M,12,291,55110
35,M,7,292,19406
56,M,1,293,55337-4056
45,F,9,294,43147
18,M,0,295,80203
50,M,5,296,89432
18,M,2,297,97211
18,F,4,298,19010
25,M,12,299,97370
25,M,7,300,78664
18,M,4,301,61820
18,M,4,302,04901
25,M,7,303,20006
25,M,0,304,55414
18,F,0,305,55414
18,M,0,306,53051
50,M,16,307,90027
25,M,2,308,10025
25,M,4,309,16801
18,F,4,310,31207
18,M,4,311,31201
50,F,2,312,22207
18,F,4,313,02138
56,F,9,314,46911
56,F,1,315,55105
56,M,13,316,90740
35,M,7,317,38555
56,F,13,318,55104
50,F,6,319,33436
35,M,6,320,99516
18,M,4,321,55128
56,M,17,322,55117
45,M,12,323,53716
35,M,17,324,55106
50,F,3,325,55112
50,M,11,326,25302
35,M,18,327,55448
35,M,12,328,80401
35,M,7,329,02115
56,M,7,330,92065
25,M,7,331,55902
50,M,1,332,55109
35,M,2,333,55410
56,F,2,334,55113
35,M,18,335,55434
18,M,0,336,98765
18,M,19,337,80205
35,M,7,338,55116
50,M,7,339,80207
25,F,3,340,28001
56,F,13,341,92119
18,M,12,342,55076
35,F,3,343,55127
35,M,14,344,75034
25,M,12,345,94114
25,F,0,346,55110
56,F,1,347,55305
50,M,7,348,55110
1,M,10,349,08035
45,M,20,350,08035
18,M,4,351,55105
18,M,4,352,60115
